customer_city,order_count,revenue
sao gabriel da palha,13,1732.64
flores da cunha,12,1732.5700000000002
ibatiba,9,1724.6
nova olinda do maranhao,4,1724.3299999999997
currais novos,7,1720.3400000000001
mostardas,11,1720.33
embu,11,1719.66
reginopolis,3,1719.32
bocaina,7,1719.24
piratininga,8,1716.05
jarinu,18,1712.06
entre rios de minas,7,1709.6200000000001
dom pedrito,10,1708.09
sao goncalo do amarante,12,1705.59
malacacheta,7,1702.21
aracoiaba da serra,11,1701.76
paranaiba,14,1701.31
penedo,9,1697.95
santa helena,12,1695.89
lambari,8,1692.91
piranguinho,9,1689.85
andira,11,1688.59
toropi,3,1682.98
itamaraju,11,1681.2
correia pinto,11,1680.18
cassilandia,5,1677.59
bastos,17,1673.94
crissiumal,2,1671.3000000000002
morada nova,10,1668.92
mata verde,6,1667.51
jose bonifacio,12,1666.93
tanabi,11,1666.88
siqueira campos,9,1663.61
marituba,14,1663.07
itauba,5,1661.9700000000003
costa marques,2,1658.28
bezerros,10,1651.23
garuva,5,1647.66
porto real,7,1645.92
tupaciguara,13,1645.3700000000001
loreto,1,1643.64
guarabira,10,1642.8600000000001
conceicao das alagoas,3,1641.4
acarau,8,1639.94
nova ponte,9,1638.5400000000002
jacarezinho,16,1635.31
pitangueiras,16,1634.64
vila valerio,8,1632.29
casca,7,1628.94
formosa do rio preto,3,1628.16
pimenta bueno,7,1622.27
balneario picarras,8,1619.82
orleans,8,1617.67
baixo guandu,8,1617.1699999999998
sao joao dos patos,7,1615.47
iguape,14,1615.2
xinguara,9,1608.51
arroio do meio,9,1608.08
conceicao do mato dentro,12,1606.34
itapecerica,13,1603.68
lauro muller,8,1597.19
cordeiropolis,15,1597.09
afogados da ingazeira,8,1596.3899999999999
jequitinhonha,11,1595.86
pacaembu,6,1595.0700000000002
marilandia,8,1593.22
ibipora,12,1590.83
mutum,8,1589.8700000000001
aracuai,9,1588.78
periquito,2,1588.1
baependi,8,1587.39
ipaba,8,1585.26
sao lourenco da mata,11,1584.4099999999999
pirapozinho,14,1582.47
igrejinha,17,1581.6399999999999
aguas formosas,5,1580.57
biritiba-mirim,10,1579.77
barroso,11,1575.52
pinhao,9,1570.99
guararapes,18,1566.9
santana do acarau,4,1563.58
teodoro sampaio,13,1561.19
girua,10,1560.97
altos,5,1560.87
itaiopolis,8,1555.42
sao miguel arcanjo,13,1554.3899999999999
simonesia,8,1549.8700000000001
cangucu,12,1545.69
corinto,11,1545.63
chapada,4,1545.3300000000002
santo antonio da platina,12,1544.84
sao joao,12,1541.31
nova prata,16,1541.25
floresta,11,1538.78
araripina,11,1538.05
fatima do sul,4,1536.8600000000001
saloa,3,1536.08
mirandopolis,13,1535.4099999999999
tabapua,12,1535.21
ibitita,1,1534.58
iracemapolis,18,1532.5
campinas do sul,6,1531.2400000000002
sao jose do vale do rio preto,12,1527.66
itabera,7,1522.98
itaqui,9,1522.33
pacajus,6,1520.0
sao miguel do araguaia,5,1518.03
barbalha,6,1515.4099999999999
sao miguel do guama,5,1514.4
barreiros,5,1514.09
jaguare,13,1513.1
mendes,12,1509.99
astolfo dutra,11,1509.69
agudos,16,1508.95
ivoti,13,1507.43
altinopolis,4,1506.04
capanema,12,1504.71
tres passos,11,1503.72
palmares,8,1503.5700000000002
guadalupe,4,1502.76
aluminio,13,1500.64
casa branca,13,1500.45
parelhas,4,1496.8000000000002
conceicao do araguaia,7,1494.6
limoeiro do norte,11,1492.55
canarana,11,1486.9
apiuna,7,1484.8
bom retiro do sul,2,1484.21
itapipoca,10,1482.91
